match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name
14,2026-06-15,18:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Belgium,BEL,Egypt,EGY,1,1,,,Completed,Regular,1.58,1.12,Thibaut Nicolas Courtois,Elsayed Mohamed Mohamed Elshenawy,Ashour Metwaly Emam,Ma Ning
15,2026-06-15,21:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Saudi Arabia,KSA,Uruguay,URU,1,1,,,Completed,Regular,0.85,1.76,Khalil Mohammed Alowais,Sergio Ramón Rochet,Khalil Mohammed Alowais,Yoshimi Yamashita
16,2026-06-15,23:59,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,IR Iran,IRN,New Zealand,NZL,2,2,,,Completed,Regular,1.88,1.2,Ali Reza Beiranvand,Maxime Teremoana Crocombe,Ramin Rezaeian,César Arturo Ramos
17,2026-06-16,15:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Senegal,SEN,3,1,,,Completed,Regular,2.44,1.05,Mike Peterson Maignan,Edouard Osoque Mendy,Michael Akpovie Olise,João Pinheiro
18,2026-06-16,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Iraq,IRQ,Norway,NOR,1,4,,,Completed,Regular,0.68,2.85,Talib Raheem Fahad Talib,Ørjan Haskjold Nyland,Erling Braut Haaland,Maurizio Mariani
19,2026-06-16,21:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Argentina,ARG,Algeria,ALG,3,0,,,Completed,Regular,2.65,0.42,Damián Emiliano Martinez,Luca Zinedine Zidane,Lionel Andrés Messi,Jalal Jayed
20,2026-06-16,23:59,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Austria,AUT,Jordan,JOR,3,1,,,Completed,Regular,1.98,0.88,Alexander Schlager,Mo'ien Hasan Yazeed Abulaila,Iyad Ali Ali Olwan,Saíd Martínez
21,2026-06-17,15:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Portugal,POR,Congo DR,COD,1,1,,,Completed,Regular,1.78,1.15,Diogo Diogo Costa,Lionel Nzau Mpasi,Pedro Joao Neves,Raphael Claus
22,2026-06-17,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,England,ENG,Croatia,CRO,4,2,,,Completed,Regular,2.92,1.64,Jordan Lee Pickford,Dominik Livakovic,Harry Edward Kane,Glenn Nyberg
23,2026-06-17,21:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Ghana,GHA,Panama,PAN,1,0,,,Completed,Regular,1.3,0.75,Lawrence Ati Zigi,Orlando Mosquera,Antoine Serlom Semenyo,Espen Eskås
24,2026-06-17,23:59,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Uzbekistan,UZB,Colombia,COL,1,3,,,Completed,Regular,0.95,2.1,Utkir Yusupov,Camilo Andres Vargas,Luis Fernando Diaz,Yael Falcón
25,2026-06-18,15:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,Mexico,MEX,South Korea,KOR,1,0,,,Completed,Regular,1.62,0.58,José Raúl Rangel,Seunggyu Kim,Luis Francisco Romo,Gustavo Tejera
26,2026-06-18,18:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Czechia,CZE,South Africa,RSA,1,1,,,Completed,Regular,1.35,1.15,Mat ě j Kovar,Ronwen Hayden Williams,Michal Sadilek,Drew Fischer
27,2026-06-18,21:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Canada,CAN,Qatar,QAT,6,0,,,Completed,Regular,3.82,0.22,Maxime Crepeau,Ibrahim Mahmoud Abunada,Jonathan Christian David,Szymon Marciniak
28,2026-06-18,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Switzerland,SUI,Bosnia and Herzegovina,BIH,4,1,,,Completed,Regular,2.45,0.88,Gregor Kobel,Nikola Vasilj,Johan Kula Manzambi,Daniele Orsato
29,2026-06-19,15:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Brazil,BRA,Haiti,HAI,3,0,,,Completed,Regular,1.16,0.9,Ramsés Alisson,Johny Placide,Matheus Matheus Cunha,Michael Oliver
30,2026-06-19,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Scotland,SCO,Morocco,MAR,0,1,,,Completed,Regular,0.97,0.54,Angus Fraser James Gunn,Yassine Bounou,Ismael Saibari,Anthony Taylor
31,2026-06-19,21:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,USA,USA,Australia,AUS,2,0,,,Completed,Regular,1.21,0.32,Matthew Charles Turner,Mathew David Ryan,Folarin Jolaoluwa Balogun,Clément Turpin
32,2026-06-19,23:59,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Türkiye,TUR,Paraguay,PAR,0,1,,,Completed,Regular,0.4,0.3,Fehmi Mert Gunok,Roberto Junior Fernandez,Matias Galarza,Jesús Valenzuela
33,2026-06-20,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Germany,GER,Côte d'Ivoire,CIV,2,1,,,Completed,Regular,1.85,0.72,Manuel Peter Neuer,Yahia Fofana,Deniz Undav,Wilton Sampaio
34,2026-06-20,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Ecuador,ECU,Curaçao,CUW,0,0,,,Completed,Regular,1.92,0.08,Hernán Ismael Galindez,Eloy Victor Room,Eloy Victor Room,César Arturo Ramos
35,2026-06-20,21:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Netherlands,NED,Sweden,SWE,5,1,,,Completed,Regular,3.45,0.88,Bart Verbruggen,Jacob Mikael Widell Zetterstrom,Cody Mathès Gakpo,Ivan Barton
36,2026-06-20,23:59,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Tunisia,TUN,Japan,JPN,0,4,,,Completed,Regular,0.35,3.12,Aymen Dahmen,Zion Suzuki,Ayase Ueda,Mustapha Ghorbal
37,2026-06-21,15:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Belgium,BEL,IR Iran,IRN,0,0,,,Completed,Regular,1.45,0.62,Thibaut Nicolas Courtois,Ali Reza Beiranvand,Ali Reza Beiranvand,Victor Gomes
38,2026-06-21,18:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,New Zealand,NZL,Egypt,EGY,1,3,,,Completed,Regular,0.55,2.15,Maxime Teremoana Crocombe,Elsayed Mohamed Mohamed Elshenawy,Hamed Mahrous Mohamed Salah,Ma Ning
39,2026-06-21,21:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Spain,ESP,Saudi Arabia,KSA,4,0,,,Completed,Regular,3.28,0.25,Unai Simon,Khalil Mohammed Alowais,Mikel Oyarzabal,Alireza Faghani
40,2026-06-21,23:59,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Uruguay,URU,Cabo Verde,CPV,2,2,,,Completed,Regular,1.65,1.1,Sergio Ramón Rochet,José Vozinha,José Vozinha,Yoshimi Yamashita
41,2026-06-22,15:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Iraq,IRQ,3,0,,,Completed,Regular,2.21,0.45,Mike Peterson Maignan,Talib Raheem Fahad Talib,Kylian Mbappe,Facundo Tello
42,2026-06-22,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Norway,NOR,Senegal,SEN,3,2,,,Completed,Regular,1.95,1.48,Ørjan Haskjold Nyland,Edouard Osoque Mendy,Erling Braut Haaland,João Pinheiro
43,2026-06-22,21:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Argentina,ARG,Austria,AUT,2,0,,,Completed,Regular,1.78,0.55,Damián Emiliano Martinez,Alexander Schlager,Lionel Andrés Messi,Maurizio Mariani
44,2026-06-22,23:59,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Jordan,JOR,Algeria,ALG,1,2,,,Completed,Regular,0.88,1.92,Mo'ien Hasan Yazeed Abulaila,Luca Zinedine Zidane,Ibrahim Maza,Jalal Jayed
45,2026-06-23,15:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Portugal,POR,Uzbekistan,UZB,5,0,,,Completed,Regular,3.54,0.42,Diogo Diogo Costa,Abduvakhid Nematov,Ronaldo Cristiano Ronaldo,Slavko Vinčić
46,2026-06-23,18:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,Colombia,COL,Congo DR,COD,1,0,,,Completed,Regular,1.62,0.58,Camilo Andres Vargas,Lionel Nzau Mpasi,Daniel Munoz,Maurizio Mariani
47,2026-06-23,21:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,England,ENG,Ghana,GHA,0,0,,,Completed,Regular,1.12,0.89,Jordan Lee Pickford,Benjamin Asare,Nico Oreilly,Saíd Martínez
48,2026-06-23,23:59,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Panama,PAN,Croatia,CRO,0,1,,,Completed,Regular,0.42,1.48,Orlando Mosquera,Dominik Livakovic,Ante Budimir,Raphael Claus
49,2026-06-24,18:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Czechia,CZE,Mexico,MEX,0,3,,,Completed,Regular,1.1,1.27,Mat ě j Kovar,José Raúl Rangel,Mateo Chavez,Glenn Nyberg
50,2026-06-24,18:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,South Africa,RSA,South Korea,KOR,1,0,,,Completed,Regular,1.26,1.39,Ronwen Hayden Williams,Seunggyu Kim,Thapelo Maseko,Espen Eskås
51,2026-06-24,22:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Canada,CAN,2,1,,,Completed,Regular,0.71,1.35,Gregor Kobel,Maxime Crepeau,Johan Kula Manzambi,Yael Falcón
52,2026-06-24,22:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Bosnia and Herzegovina,BIH,Qatar,QAT,3,1,,,Completed,Regular,1.48,0.95,Nikola Vasilj,Ibrahim Mahmoud Abunada,Kerim Alajbegovic,Gustavo Tejera
53,2026-06-25,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Scotland,SCO,Brazil,BRA,0,3,,,Completed,Regular,0.45,2.18,Angus Fraser James Gunn,Ramsés Alisson,José Vinicius,Drew Fischer
54,2026-06-25,18:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Morocco,MAR,Haiti,HAI,4,2,,,Completed,Regular,2.35,1.12,Yassine Bounou,Johny Placide,Achraf Hakimi,Danny Makkelie
55,2026-06-25,22:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Türkiye,TUR,USA,USA,3,2,,,Completed,Regular,1.62,1.45,Fehmi Mert Gunok,Matthew Charles Turner,Arda Guler,Daniele Orsato
56,2026-06-25,22:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Paraguay,PAR,Australia,AUS,0,0,,,Completed,Regular,0.55,0.48,Roberto Junior Fernandez,Mathew David Ryan,Roberto Junior Fernandez,Michael Oliver
57,2026-06-26,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Ecuador,ECU,Germany,GER,2,1,,,Completed,Regular,1.28,1.55,Hernán Ismael Galindez,Manuel Peter Neuer,Nilson David Angulo,Anthony Taylor
58,2026-06-26,18:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Curaçao,CUW,Côte d'Ivoire,CIV,0,2,,,Completed,Regular,0.32,1.68,Eloy Victor Room,Yahia Fofana,Nicolas Pepe,Clément Turpin
59,2026-06-26,22:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Tunisia,TUN,Netherlands,NED,1,3,,,Completed,Regular,0.62,2.15,Aymen Dahmen,Bart Verbruggen,Brian Ebenezer Adjei Brobbey,Jesús Valenzuela
60,2026-06-26,22:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Japan,JPN,Sweden,SWE,1,1,,,Completed,Regular,1.12,0.95,Zion Suzuki,Jacob Mikael Widell Zetterstrom,Daizen Maeda,Wilton Sampaio
61,2026-06-27,18:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,New Zealand,NZL,Belgium,BEL,1,5,,,Completed,Regular,0.48,3.25,Maxime Teremoana Crocombe,Thibaut Nicolas Courtois,Leandro Trossard,César Arturo Ramos
62,2026-06-27,18:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Egypt,EGY,IR Iran,IRN,1,1,,,Completed,Regular,0.85,0.92,Elsayed Mohamed Mohamed Elshenawy,Ali Reza Beiranvand,Ramin Rezaeian,Ivan Barton
63,2026-06-27,22:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Uruguay,URU,Spain,ESP,0,1,,,Completed,Regular,0.78,1.35,Sergio Ramón Rochet,Unai Simon,Alejandro Baena,Mustapha Ghorbal
64,2026-06-27,22:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Cabo Verde,CPV,Saudi Arabia,KSA,0,0,,,Completed,Regular,0.42,0.38,José Vozinha,Khalil Mohammed Alowais,José Vozinha,Victor Gomes
65,2026-06-26,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Norway,NOR,France,FRA,1,4,,,Completed,Regular,1.3,0.96,Ørjan Haskjold Nyland,Mike Peterson Maignan,Masour Ousmane Dembele,Ma Ning
66,2026-06-26,18:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Senegal,SEN,Iraq,IRQ,5,0,,,Completed,Regular,3.01,0.14,Edouard Osoque Mendy,Basil Fadhil Ahmed,Iliman Cheikh Baroy Ndiaye,Alireza Faghani
67,2026-06-27,22:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Jordan,JOR,Argentina,ARG,1,3,,,Completed,Regular,0.76,2.13,Mo'ien Hasan Yazeed Abulaila,Damián Emiliano Martinez,Lionel Andrés Messi,Yoshimi Yamashita
68,2026-06-27,22:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Algeria,ALG,Austria,AUT,3,3,,,Completed,Regular,1.62,1.44,Oussama Benbot,Alexander Schlager,Riyad Karim Mahrez,Facundo Tello
69,2026-06-28,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Colombia,COL,Portugal,POR,0,0,,,Completed,Regular,1.62,0.73,Camilo Andres Vargas,Diogo Diogo Costa,Diogo Diogo Costa,Maurizio Mariani
70,2026-06-28,18:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,Congo DR,COD,Uzbekistan,UZB,3,1,,,Completed,Regular,2.35,0.2,Lionel Nzau Mpasi,Abduvakhid Nematov,Yoane Wissa,João Pinheiro
71,2026-06-28,22:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Panama,PAN,England,ENG,0,2,,,Completed,Regular,0.69,1.39,Orlando Mosquera,Jordan Lee Pickford,Jude Victor William Bellingham,Jalal Jayed
72,2026-06-28,22:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Croatia,CRO,Ghana,GHA,2,1,,,Completed,Regular,0.42,0.74,Dominik Livakovic,Benjamin Asare,Petar Sucic,Slavko Vinčić
73,2026-06-29,12:00,Round of 32,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,South Africa,RSA,Canada,CAN,0,1,,,Completed,Regular,0.13,1.32,Ronwen Hayden Williams,Maxime Crepeau,Stephen Eustaquio,João Pinheiro
74,2026-06-29,23:00,Round of 32,Houston Stadium (NRG Stadium),Houston,USA,Brazil,BRA,Japan,JPN,2,1,,,Completed,Regular,1.69,0.23,Ramsés Alisson,Zion Suzuki,Henrique,Maurizio Mariani
75,2026-06-30,02:30,Round of 32,Boston Stadium (Gillette Stadium),Foxborough,USA,Germany,GER,Paraguay,PAR,1,1,3,4,Completed,Penalties,0.72,0.42,Manuel Peter Neuer,Orlando Daniel Gill,Orlando Daniel Gill,Jalal Jayed
76,2026-06-30,07:00,Round of 32,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Netherlands,NED,Morocco,MAR,1,1,2,3,Completed,Penalties,0.23,1.4,Bart Verbruggen,Yassine Bounou,Issa Laye Lucas Jean Diop,Wilton Sampaio
77,2026-06-30,23:00,Round of 32,Dallas Stadium (AT&T Stadium),Arlington,USA,Côte d'Ivoire,CIV,Norway,NOR,1,2,,,Completed,Regular,1.15,2.02,Yahia Fofana,Ørjan Haskjold Nyland,Antonio Eromonsele Nordby Nusa,Jesús Valenzuela
78,2026-07-01,03:00,Round of 32,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Sweden,SWE,3,0,,,Completed,Regular,3.17,0.67,Mike Peterson Maignan,Jacob Mikael Widell Zetterstrom,Kylian Mbappe,Danny Makkelie
79,2026-07-01,07:00,Round of 32,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,Ecuador,ECU,2,0,,,Completed,Regular,1.02,0.73,José Raúl Rangel,Hernán Ismael Galindez,Julián Andrés Quinones,Slavko Vinčić
80,2026-07-01,22:00,Round of 32,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,England,ENG,Congo DR,COD,2,1,,,Completed,Regular,2.04,0.76,Jordan Lee Pickford,Lionel Nzau Mpasi,Harry Edward Kane,Adham Makhadmeh
81,2026-07-02,02:00,Round of 32,Seattle Stadium (Lumen Field),Seattle,USA,Belgium,BEL,Senegal,SEN,3,2,,,Completed,AET,1.74,3.58,Thibaut Nicolas Courtois,Mory Diaw,Youri Marion Tielemans,Saíd Martínez
82,2026-07-02,06:00,Round of 32,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,USA,USA,Bosnia and Herzegovina,BIH,2,0,,,Completed,Regular,0.92,0.25,Matthew Andrew Geary Freese,Nikola Vasilj,Malik Leon Tillman,Raphael Claus
83,2026-07-03,01:00,Round of 32,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Spain,ESP,Austria,AUT,3,0,,,Completed,Regular,2.84,0.32,Unai Simon,Alexander Schlager,Mikel Oyarzabal,Glenn Nyberg
84,2026-07-03,05:00,Round of 32,Toronto Stadium (BMO Field),Toronto,CAN,Portugal,POR,Croatia,CRO,2,1,,,Completed,Regular,2.18,1.34,Diogo Diogo Costa,Dominik Livakovic,Ronaldo Cristiano Ronaldo,Espen Eskås
85,2026-07-03,09:00,Round of 32,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Algeria,ALG,2,0,,,Completed,Regular,2.52,0.73,Gregor Kobel,Luca Zinedine Zidane,Breel Donald Embolo,Yael Falcón
86,2026-07-04,00:00,Round of 32,Dallas Stadium (AT&T Stadium),Arlington,USA,Australia,AUS,Egypt,EGY,1,1,2,4,Completed,Penalties,0.87,1.36,Patrick Thomas Beach,Abdelaziz Mohame Mostafa,Hamed Mahrous Mohamed Salah,Gustavo Tejera
87,2026-07-04,04:00,Round of 32,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Argentina,ARG,Cabo Verde,CPV,3,2,,,Completed,AET,2.16,0.46,Damián Emiliano Martinez,José Vozinha,Lionel Andrés Messi,Drew Fischer
88,2026-07-04,07:30,Round of 32,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Colombia,COL,Ghana,GHA,1,0,,,Completed,Regular,2.19,0.26,Camilo Andres Vargas,Lawrence Ati Zigi,Jhon Adolfo Arias,Clément Turpin
89,2026-07-04,21:00,Round of 16,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Paraguay,PAR,France,FRA,0,1,,,Completed,Regular,0.3,1.8,Orlando Daniel Gill,Mike Peterson Maignan,Orlando Daniel Gill,Ma Ning
90,2026-07-04,23:00,Round of 16,Houston Stadium (NRG Stadium),Houston,USA,Canada,CAN,Morocco,MAR,0,3,,,Completed,Regular,0.8,1.2,Maxime Crepeau,Yassine Bounou,Azz-Eddine Ounahi,Michael Oliver
91,2026-07-05,20:00,Round of 16,Dallas Stadium (AT&T Stadium),Arlington,USA,Brazil,BRA,Norway,NOR,1,2,,,Completed,Regular,2.61,1.05,Ramsés Alisson,Ørjan Haskjold Nyland,Erling Braut Haaland,Alireza Faghani
92,2026-07-06,01:00,Round of 16,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,England,ENG,2,3,,,Completed,Regular,1.88,1.61,José Raúl Rangel,Jordan Lee Pickford,Jude Victor William Bellingham,Alireza Faghani
93,2026-07-06,19:00,Round of 16,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Portugal,POR,Spain,ESP,0,1,,,Completed,Regular,0.85,1.42,,,Mikel Oyarzabal,Anthony Taylor
94,2026-07-07,00:00,Round of 16,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,USA,USA,Belgium,BEL,1,4,,,Completed,Regular,1.05,2.3,,,Youri Marion Tielemans,Adham Makhadmeh
95,2026-07-07,16:00,Round of 16,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Argentina,ARG,Egypt,EGY,3,2,,,Completed,Regular,2.15,1.1,,,Lionel Andrés Messi,Szymon Marciniak
96,2026-07-07,20:00,Round of 16,Seattle Stadium (Lumen Field),Seattle,USA,Switzerland,SUI,Colombia,COL,0,0,,,Completed,Regular,0.7,0.85,,,Jhon Adolfo Arias,Danny Makkelie
97,2026-07-09,20:00,Quarter-finals,Boston Stadium (Gillette Stadium),Foxborough,USA,France,FRA,Morocco,MAR,2,0,,,Completed,Regular,1.8,0.45,,,Kylian Mbappe,Facundo Tello
98,2026-07-10,19:00,Quarter-finals,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Spain,ESP,Belgium,BEL,2,1,,,Completed,Regular,1.9,1.15,,,Mikel Oyarzabal,Michael Oliver
99,2026-07-11,21:00,Quarter-finals,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Norway,NOR,England,ENG,1,2,,,Completed,AET,0.77,0.96,,,Jude Victor William Bellingham,Ivan Barton
100,2026-07-12,01:00,Quarter-finals,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Argentina,ARG,Switzerland,SUI,3,1,,,Completed,AET,2.0,0.53,,,Julián Alvarez,João Pinheiro
101,2026-07-14,20:00,Semi-finals,Dallas Stadium (AT&T Stadium),Arlington,USA,France,FRA,Spain,ESP,0,2,,,Completed,Regular,0.3,1.63,,,Pedro Antonio Porro,Ivan Barton
102,2026-07-15,20:00,Semi-finals,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,England,ENG,Argentina,ARG,1,2,,,Completed,Regular,0.54,1.8,,,Lionel Andrés Messi,Danny Makkelie
103,2026-07-18,22:00,Third-place match,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,France,FRA,England,ENG,4,6,,,Completed,Regular,2.88,2.88,,,Bukayo Ayoyinka Saka,Jesús Valenzuela
104,2026-07-19,20:00,Final,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Spain,ESP,Argentina,ARG,1,2,,,Completed,AET,1.12,1.95,,,Lionel Andrés Messi,Slavko Vinčić
