match_id,date,weekday,group,team_a,team_b,kickoff,venue,city,stage
m37,2026-06-21,Sunday,G,New Zealand,Egypt,20:00,BC Place Vancouver,Vancouver,group
m38,2026-06-21,Sunday,H,Uruguay,Cabo Verde,17:00,Miami Stadium,Miami,group
m39,2026-06-21,Sunday,G,Belgium,IR Iran,14:00,Los Angeles Stadium,Los Angeles,group
m40,2026-06-21,Sunday,H,Spain,Saudi Arabia,11:00,Atlanta Stadium,Atlanta,group
m41,2026-06-22,Monday,J,Jordan,Algeria,22:00,SF Bay Area Stadium,San Francisco Bay Area,group
m42,2026-06-22,Monday,I,Norway,Senegal,19:00,NY/NJ Stadium,New Jersey,group
m43,2026-06-22,Monday,I,France,Iraq,16:00,Philadelphia Stadium,Philadelphia,group
m44,2026-06-22,Monday,J,Argentina,Austria,12:00,Dallas Stadium,Dallas,group
m45,2026-06-23,Tuesday,K,Colombia,Congo DR,21:00,Guadalajara Stadium,Guadalajara,group
m46,2026-06-23,Tuesday,L,Panama,Croatia,18:00,Toronto Stadium,Toronto,group
m47,2026-06-23,Tuesday,L,England,Ghana,15:00,Boston Stadium,Boston,group
m48,2026-06-23,Tuesday,K,Portugal,Uzbekistan,12:00,Houston Stadium,Houston,group
m49,2026-06-24,Wednesday,A,South Africa,Korea Republic,20:00,Monterrey Stadium,Monterrey,group
m50,2026-06-24,Wednesday,A,Czechia,Mexico,20:00,Mexico City Stadium,Mexico City,group
m51,2026-06-24,Wednesday,C,Morocco,Haiti,17:00,Atlanta Stadium,Atlanta,group
m52,2026-06-24,Wednesday,C,Scotland,Brazil,17:00,Miami Stadium,Miami,group
m53,2026-06-24,Wednesday,B,Bosnia and Herzegovina,Qatar,14:00,Seattle Stadium,Seattle,group
m54,2026-06-24,Wednesday,B,Switzerland,Canada,14:00,BC Place Vancouver,Vancouver,group
m55,2026-06-25,Thursday,E,Curaçao,Côte d'Ivoire,15:00,Philadelphia Stadium,Philadelphia,group
m56,2026-06-25,Thursday,E,Ecuador,Germany,15:00,NY/NJ Stadium,New Jersey,group
m57,2026-06-25,Thursday,F,Japan,Sweden,18:00,Dallas Stadium,Dallas,group
m58,2026-06-25,Thursday,F,Tunisia,Netherlands,18:00,Kansas City Stadium,Kansas City,group
m59,2026-06-25,Thursday,D,Türkiye,USA,21:00,Los Angeles Stadium,Los Angeles,group
m60,2026-06-25,Thursday,D,Paraguay,Australia,21:00,SF Bay Area Stadium,San Francisco Bay Area,group
m61,2026-06-26,Friday,G,New Zealand,Belgium,22:00,BC Place Vancouver,Vancouver,group
m62,2026-06-26,Friday,G,Egypt,IR Iran,22:00,Seattle Stadium,Seattle,group
m63,2026-06-26,Friday,H,Cabo Verde,Saudi Arabia,19:00,Houston Stadium,Houston,group
m64,2026-06-26,Friday,H,Uruguay,Spain,19:00,Guadalajara Stadium,Guadalajara,group
m65,2026-06-26,Friday,I,Senegal,Iraq,14:00,Toronto Stadium,Toronto,group
m66,2026-06-26,Friday,I,Norway,France,14:00,Boston Stadium,Boston,group
m67,2026-06-27,Saturday,J,Algeria,Austria,21:00,Kansas City Stadium,Kansas City,group
m68,2026-06-27,Saturday,J,Jordan,Argentina,21:00,Dallas Stadium,Dallas,group
m69,2026-06-27,Saturday,K,Colombia,Portugal,18:30,Miami Stadium,Miami,group
m70,2026-06-27,Saturday,K,Congo DR,Uzbekistan,18:30,Atlanta Stadium,Atlanta,group
m71,2026-06-27,Saturday,L,Croatia,Ghana,16:00,Philadelphia Stadium,Philadelphia,group
m72,2026-06-27,Saturday,L,Panama,England,16:00,NY/NJ Stadium,New Jersey,group
