event_id,match_id,minute,event_type,team_id,player_id
165,28,84,Assist,8,189
166,28,90,Goal,8,191
167,28,90,Assist,8,199
168,28,90,Goal,8,192
169,28,90,Goal,6,156
170,29,22,Yellow Card,11,262
171,29,23,Goal,9,217
172,29,36,Goal,9,217
173,29,36,Assist,9,215
174,29,38,Yellow Card,11,280
175,29,45,Goal,9,215
176,29,45,Assist,9,228
177,29,65,Yellow Card,11,277
178,29,72,Yellow Card,9,224
179,30,2,Goal,10,245
180,30,2,Assist,10,244
181,31,11,Goal,13,385
182,31,16,Yellow Card,15,369
183,31,32,Yellow Card,15,367
184,31,43,Goal,13,328
185,31,43,Assist,13,314
186,31,43,VAR Review,13,328
187,31,56,Yellow Card,13,317
188,31,84,Yellow Card,15,368
189,31,88,Yellow Card,13,332
190,31,88,Yellow Card,15,383
191,31,88,Yellow Card,13,315
192,32,2,Goal,14,361
193,32,2,Assist,14,357
194,32,45,Red Card,14,348
195,32,45,VAR Review,14,348
196,33,30,Goal,19,476
197,33,30,Assist,19,479
198,33,68,Goal,17,442
199,33,68,Assist,17,436
200,33,90,Goal,17,442
201,33,90,Assist,17,439
202,34,90,Yellow Card,18,461
203,35,5,Goal,21,539
204,35,5,Assist,21,531
205,35,17,Goal,21,539
206,35,17,Assist,21,542
207,35,47,Goal,21,531
208,35,47,Assist,21,542
209,35,54,Goal,21,531
210,35,54,Assist,21,544
211,35,59,Goal,23,583
212,35,59,Assist,23,581
213,35,89,Goal,21,544
214,35,89,Assist,21,530
215,36,4,Goal,22,561
216,36,4,Assist,22,559
217,36,31,Goal,22,564
218,36,31,Assist,22,559
219,36,69,Goal,22,560
220,36,69,Assist,22,564
221,36,83,Goal,22,564
222,36,83,Assist,22,570
223,37,1,Yellow Card,25,633
224,37,66,Red Card,25,649
225,38,15,Goal,28,718
226,38,15,Assist,28,704
227,38,58,Goal,26,661
228,38,58,Assist,26,653
229,38,67,Goal,26,660
230,38,67,Assist,26,661
231,38,82,Goal,26,657
232,38,82,Assist,26,660
233,39,10,Goal,29,747
234,39,10,Assist,29,749
235,39,21,Goal,29,749
236,39,21,Assist,29,742
237,39,24,Goal,29,749
238,39,24,Assist,29,738
239,39,49,Goal,29,785
240,40,21,Goal,30,760
241,40,44,Goal,32,826
242,40,44,Assist,32,814
243,40,45,Goal,32,820
244,40,45,Assist,32,826
245,40,61,Goal,30,780
246,41,14,Goal,33,842
247,41,14,Assist,33,843
248,41,54,Goal,33,842
249,41,54,Assist,33,839
250,41,66,Goal,33,839
251,41,66,Assist,33,843
252,42,43,Goal,36,926
253,42,48,Goal,36,919
254,42,48,Assist,36,920
255,42,53,Goal,34,876
256,42,53,Assist,34,868
257,42,58,Goal,36,919
258,42,58,Assist,36,916
259,42,90,Goal,34,876
260,42,90,Assist,34,869
261,43,38,Goal,37,946
262,43,38,Assist,37,961
263,43,90,Goal,37,946
264,44,36,Goal,40,1035
265,44,36,Assist,40,1024
266,44,69,Goal,38,974
267,44,69,Assist,38,969
268,44,82,Goal,38,971
269,45,6,Goal,41,1047
270,45,6,Assist,41,1060
271,45,17,Goal,41,1065
272,45,39,Goal,41,1047
273,45,39,Assist,41,1048
274,45,60,Goal,41,1094
275,45,87,Goal,41,1057
276,45,87,Assist,41,1063
277,46,76,Goal,44,1120
278,46,76,Assist,44,1138
279,48,54,Goal,46,1181
280,48,54,Assist,46,1172
281,49,55,Goal,1,20
282,49,55,Assist,1,7
283,49,61,Goal,1,16
284,49,61,Assist,1,2
285,49,90,Goal,1,8
286,49,90,Assist,1,25
287,50,63,Goal,2,38
288,50,63,Assist,2,34
289,51,46,Goal,8,199
290,51,46,Assist,8,191
291,51,57,Goal,8,191
292,51,57,Assist,8,189
293,51,76,Goal,5,128
294,51,76,Assist,5,129
295,52,29,Goal,6,149
296,52,29,Assist,6,143
297,52,34,Goal,6,157
298,52,42,Goal,7,166
299,52,42,Assist,7,164
300,52,82,Goal,6,156
301,52,82,Assist,6,133
302,53,7,Goal,9,215
303,53,7,Assist,9,234
304,53,45,Goal,9,215
305,53,45,Assist,9,216
306,53,60,Goal,9,217
307,53,60,Assist,9,216
308,54,10,Goal,11,235
309,54,39,Goal,10,236
310,54,43,Goal,11,278
311,54,45,Goal,10,245
312,54,78,Goal,10,243
313,54,89,Goal,10,250
314,55,3,Goal,13,318
315,55,3,Assist,13,326
316,55,10,Goal,16,398
317,55,10,Assist,16,416
318,55,31,Goal,16,396
319,55,31,Assist,16,403
320,55,49,Goal,13,326
321,55,90,Goal,16,412
322,56,46,Yellow Card,15,386
323,56,77,Yellow Card,14,346
324,57,2,Goal,17,435
325,57,2,Assist,17,433
326,57,9,Goal,20,514
327,57,9,Assist,20,509
328,57,77,Goal,20,513
329,57,77,Assist,20,517
330,58,7,Goal,19,487
331,58,64,Goal,19,487
332,59,3,Goal,21,615
333,59,7,Goal,21,539
334,59,54,Goal,24,607
335,59,62,Goal,21,526
336,60,56,Goal,22,557
337,60,62,Goal,23,583
338,61,28,Goal,25,634
339,61,50,Goal,25,634
340,61,66,Goal,25,631
341,61,84,Goal,28,713
342,61,86,Goal,25,633
343,61,90,Goal,25,646
344,62,5,Goal,26,671
345,62,14,Goal,27,699
346,63,42,Goal,29,743
347,63,42,Assist,29,733
348,64,4,Yellow Card,31,792
349,64,8,Yellow Card,30,778
350,64,67,Yellow Card,31,786
351,64,90,Yellow Card,31,789
352,65,7,Goal,33,839
353,65,7,Assist,33,842
354,65,10,Yellow Card,36,916
355,65,20,Goal,33,839
356,65,20,Assist,33,842
357,65,21,Goal,36,929
358,65,21,Assist,36,931
359,65,32,Goal,33,839
360,65,32,Assist,33,840
361,65,74,Yellow Card,33,840
362,65,90,Goal,33,852
363,65,90,Assist,33,844
364,66,4,Goal,34,879
365,66,4,Assist,34,862
366,66,13,Red Card,35,886
367,66,18,Yellow Card,34,862
368,66,56,Goal,34,876
369,66,56,Assist,34,866
370,66,59,Goal,34,884
371,66,59,Assist,34,876
372,66,71,Goal,34,884
373,66,71,Assist,34,871
374,66,75,Yellow Card,35,900
375,66,81,Yellow Card,34,884
376,66,82,Goal,34,871
377,66,82,Assist,34,884
378,66,90,Yellow Card,35,907
379,67,19,Goal,37,947
380,67,31,Goal,37,958
381,67,55,Goal,40,1024
382,67,55,Assist,40,1037
383,67,80,Goal,37,946
384,68,28,Goal,39,995
385,68,28,Assist,39,996
386,68,45,Goal,38,979
387,68,45,Assist,38,969
388,68,55,Goal,39,997
389,68,55,Assist,39,994
390,68,60,Goal,38,969
391,68,60,Assist,38,970
392,68,90,Goal,38,969
393,68,90,Assist,38,970
394,68,90,Goal,39,1002
395,68,90,Assist,39,999
396,70,10,Goal,43,1106
397,70,10,Assist,43,1098
398,70,68,Goal,42,1086
399,70,78,Goal,42,1085
400,70,90,Goal,42,1086
401,70,90,Assist,42,1079
402,71,62,Goal,45,1154
403,71,62,Assist,45,1151
404,71,67,Goal,45,1153
405,71,67,Assist,45,1154
406,72,31,Goal,46,1187
407,72,73,Goal,47,1219
408,72,73,Assist,47,1220
409,72,83,Goal,46,1183
410,72,83,Assist,46,1180
411,73,90,Goal,5,111
412,74,29,Goal,22,570
413,74,56,Goal,9,213
414,74,56,Assist,9,211
415,74,90,Goal,9,230
416,74,90,Assist,9,216
417,75,42,Goal,14,357
418,75,42,Assist,14,361
419,75,54,Goal,17,423
420,75,54,Assist,17,433
421,75,121,Penalty Shootout Miss,17,423
422,75,121,Penalty Shootout Goal,14,349
423,75,121,Penalty Shootout Goal,17,422
424,75,121,Penalty Shootout Goal,14,353
425,75,121,Penalty Shootout Goal,17,426
426,75,121,Penalty Shootout Goal,14,361
427,75,121,Penalty Shootout Miss,17,427
428,75,121,Penalty Shootout Miss,14,347
429,75,121,Penalty Shootout Goal,17,436
430,75,121,Penalty Shootout Miss,14,343
431,75,121,Penalty Shootout Miss,17,420
432,75,121,Penalty Shootout Goal,14,351
433,76,72,Goal,21,531
434,76,72,Assist,21,544
435,76,90,Goal,10,248
436,76,90,Assist,10,241
437,76,121,Penalty Shootout Goal,21,540
438,76,121,Penalty Shootout Miss,10,258
439,76,121,Penalty Shootout Miss,21,527
440,76,121,Penalty Shootout Goal,10,243
441,76,121,Penalty Shootout Goal,21,529
442,76,121,Penalty Shootout Goal,10,241
443,76,121,Penalty Shootout Miss,21,546
444,76,121,Penalty Shootout Miss,10,236
445,76,121,Penalty Shootout Miss,21,544
446,76,121,Penalty Shootout Goal,10,245
447,77,39,Goal,36,930
448,77,74,Goal,19,483
449,77,86,Goal,36,919
450,77,86,Assist,36,916
451,78,45,Goal,33,842
452,78,53,Goal,33,844
453,78,53,Assist,33,843
454,78,74,Goal,33,842
455,78,74,Assist,33,843
456,79,22,Goal,1,16
457,79,22,Assist,1,25
458,79,31,Goal,1,9
459,79,31,Assist,1,16
460,79,95,Red Card,20,497
461,80,7,Goal,42,1075
462,80,75,Goal,45,1153
463,80,75,Assist,45,1162
464,80,86,Goal,45,1153
465,80,86,Assist,45,1162
466,81,25,Goal,34,879
467,81,51,Goal,34,876
468,81,51,Assist,34,877
469,81,86,Goal,25,633
470,81,86,Assist,25,639
471,81,89,Goal,25,632
472,81,89,Assist,25,634
473,81,120,Goal,25,632
474,81,120,VAR Review,34,866
475,82,45,Goal,13,332
476,82,45,Assist,13,329
477,82,64,Red Card,13,332
478,82,64,VAR Review,13,332
479,82,82,Goal,13,329
480,83,36,Goal,29,749
481,83,36,Assist,29,752
482,83,66,Goal,29,740
483,83,66,Assist,29,743
484,83,89,Goal,29,749
485,83,89,Assist,29,752
486,84,53,Goal,46,1184
487,84,53,Assist,46,1172
488,84,68,Goal,41,1047
489,84,90,Goal,41,1049
490,84,90,Assist,41,1057
491,84,103,VAR Review,46,1174
492,85,10,Goal,8,189
493,85,10,Assist,8,191
494,85,46,Goal,8,193
495,86,13,Goal,26,658
496,86,55,Goal,15,653
497,86,121,Penalty Shootout Miss,15,383
498,86,121,Penalty Shootout Goal,26,671
499,86,121,Penalty Shootout Goal,15,386
500,86,121,Penalty Shootout Goal,26,655
501,86,121,Penalty Shootout Goal,15,375
502,86,121,Penalty Shootout Goal,26,660
503,86,121,Penalty Shootout Miss,15,389
504,86,121,Penalty Shootout Goal,26,654
505,87,29,Goal,37,946
506,87,59,Goal,30,768
507,87,92,Goal,37,942
508,87,103,Goal,30,767
509,87,111,Goal,37,757
510,88,14,Goal,44,1129
511,88,14,Assist,44,1143
512,89,70,Goal,33,842
513,90,50,Goal,10,242
514,90,50,Assist,10,236
515,90,82,Goal,10,242
516,90,82,Assist,10,244
517,90,90,Goal,10,243
518,90,90,Assist,10,244
519,91,3,VAR Review,36,916
520,91,14,VAR Review,9,217
521,91,79,Goal,36,919
522,91,79,Assist,36,931
523,91,90,Goal,9,218
524,91,90,Goal,36,919
525,92,36,Goal,45,1154
526,92,36,Assist,45,1151
527,92,38,Goal,45,1154
528,92,38,Assist,45,1153
529,92,42,Goal,1,16
530,92,54,Red Card,45,1170
531,92,54,VAR Review,45,1170
532,92,60,Goal,45,1153
533,92,69,Goal,1,9
534,92,69,VAR Review,45,1153
535,93,90,Goal,29,734
536,93,90,Assist,29,735
537,94,9,Goal,25,641
538,94,9,Assist,25,647
539,94,31,Goal,13,329
540,94,33,Goal,25,641
541,94,33,Assist,25,634
542,94,57,Goal,25,644
543,94,90,Goal,25,633
544,95,15,Goal,26,652
545,95,15,Assist,26,660
546,95,26,Goal,37,949
547,95,26,Assist,37,946
548,95,40,Goal,37,946
549,95,55,Goal,37,945
550,95,55,Assist,37,956
551,95,67,Goal,26,661
552,95,67,Assist,26,662
553,97,60,Goal,33,842
554,97,60,Assist,33,839
555,97,66,Goal,33,844
556,97,66,Assist,33,842
557,98,30,Goal,29,738
558,98,41,Goal,25,641
559,98,41,Assist,25,625
560,98,88,Goal,29,747
561,99,36,Goal,36,931
562,99,36,Assist,36,920
563,99,45,Goal,45,1154
564,99,45,Assist,45,1162
565,99,93,Goal,45,1154
566,100,10,Goal,37,956
567,100,10,Assist,37,946
568,100,67,Goal,8,193
569,100,67,Assist,8,195
570,100,112,Goal,37,945
571,100,112,Assist,37,957
572,100,120,Goal,37,958
573,101,22,Goal,29,749
574,101,58,Goal,29,740
575,101,58,Assist,29,738
576,102,55,Goal,45,1162
577,102,55,Assist,45,1161
578,102,85,Goal,37,960
579,102,85,Assist,37,946
580,102,90,Goal,37,958
581,102,90,Assist,37,946
582,103,3,Goal,45,1148
583,103,18,Goal,45,1146
584,103,18,Assist,45,1148
585,103,37,Goal,45,1151
586,103,37,Assist,45,1155
587,103,45,Goal,45,1151
588,103,45,Assist,45,1165
589,103,48,Goal,33,842
590,103,48,Assist,33,843
591,103,54,Goal,33,844
592,103,54,Assist,33,842
593,103,66,Goal,33,842
594,103,66,Assist,33,843
595,103,87,Goal,45,1151
596,103,90,Goal,33,839
597,103,90,Assist,33,836
598,103,90,Goal,45,1154
599,104,106,Goal,29,735
600,104,106,Assist,29,745
