match_id,team_a,team_b,book,source_url,odds_home_raw,odds_draw_raw,odds_away_raw,odds_home_dec,odds_draw_dec,odds_away_dec,imp_home,imp_draw,imp_away,overround
m11,Côte d'Ivoire,Ecuador,Paddy Power,https://www.racingpost.com/sport/football-tips/world-cup-2026/ivory-coast-vs-ecuador-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aOFLB3P6BDFL/,5/2,7/4,7/5,3.5,2.75,2.4,0.268,0.3411,0.3909,1.066
m12,Sweden,Tunisia,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/sweden-vs-tunisia-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-a1p2W8G103pO/,9/10,12/5,10/3,1.9,3.4,4.333333333333334,0.5007,0.2798,0.2195,1.0512
m13,Spain,Cabo Verde,Kalshi,https://www.covers.com/world-cup/spain-vs-cape-verde-prediction-picks-odds-monday-6-15-2026,-1011,+1329,+2400,1.09891196834817,14.29,25.0,0.8922,0.0686,0.0392,1.02
m14,IR Iran,New Zealand,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/iran-vs-new-zealand-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aAP7j4z779qD/,5/6,12/5,15/4,1.8333333333333335,3.4,4.75,0.5194,0.2801,0.2005,1.0501
m15,Saudi Arabia,Uruguay,Kalshi,https://www.covers.com/world-cup/saudi-arabia-vs-uruguay-prediction-picks-odds-monday-6-15-2026,+733,+280,-212,8.33,3.8,1.4716981132075473,0.113,0.2476,0.6394,1.0627
m16,Belgium,Egypt,unspecified,https://www.cbssports.com/soccer/news/belgium-vs-egypt-world-cup-2026-preview-predictions-watch/,-155,+285,+425,1.6451612903225805,3.85,5.25,0.5745,0.2455,0.18,1.0581
m17,Austria,Jordan,FanDuel,https://www.cbssports.com/soccer/news/austria-jordan-odds-prediction-time-2026-world-cup-picks-soccer-best-bets/,-260,+370,+700,1.3846153846153846,4.7,8.0,0.6813,0.2007,0.1179,1.06
m18,France,Senegal,FanDuel,https://www.cbssports.com/soccer/news/france-senegal-odds-prediction-time-2026-world-cup-picks-best-bets/,-220,+350,+600,1.4545454545454546,4.5,7.0,0.6532,0.2111,0.1357,1.0526
m19,Iraq,Norway,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/iraq-vs-norway-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aaXwW1a7805C/,12/1,6/1,1/5,13.0,7.0,1.2,0.073,0.1357,0.7913,1.0531
m20,Argentina,Algeria,Kalshi,https://www.covers.com/world-cup/argentina-vs-algeria-prediction-picks-odds-tuesday-6-16-2026,-245,+376,+809,1.4081632653061225,4.76,9.09,0.6893,0.2039,0.1068,1.0302
m21,Portugal,Congo DR,FanDuel,https://www.cbssports.com/soccer/news/portugal-dr-congo-odds-prediction-time-2026-world-cup-picks-best-bets/,-370,+460,+1100,1.2702702702702702,5.6,12.0,0.7504,0.1702,0.0794,1.0491
m22,England,Croatia,BetMGM,https://www.sportsgambler.com/betting-tips/football/england-vs-croatia-prediction-lineups-odds-2026-06-17/,-143,+265,+430,1.6993006993006992,3.65,5.3,0.5599,0.2606,0.1795,1.0511
m23,Ghana,Panama,FanDuel,https://www.cbssports.com/soccer/news/ghana-panama-odds-prediction-line-time-2026-world-cup-picks-best-bets/,+135,+210,+220,2.35,3.1,3.2,0.4012,0.3041,0.2946,1.0606
m24,Uzbekistan,Colombia,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/uzbekistan-vs-colombia-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-arLVQ9O2OR9D/,15/2,7/2,2/5,8.5,4.5,1.4,0.1116,0.2108,0.6776,1.0542
m25,Mexico,Korea Republic,Kalshi,https://www.covers.com/world-cup/mexico-vs-south-korea-prediction-picks-odds-thursday-6-18-2026,+104,+245,+317,2.04,3.45,4.17,0.4807,0.2842,0.2351,1.0199
m26,Canada,Qatar,Kalshi,https://www.covers.com/world-cup/canada-vs-qatar-prediction-picks-odds-thursday-6-18-2026,-385,+475,+875,1.2597402597402598,5.75,9.75,0.7417,0.1625,0.0958,1.0703
m27,Switzerland,Bosnia and Herzegovina,Dafabet,https://www.toffeeweb.com/int/switzerland-vs-bosnia-and-herzegovina-predictions-picks-odds-19-06-2026/,1.57,4.00,5.80,1.57,4.0,5.8,0.6013,0.236,0.1628,1.0594
m28,Czechia,South Africa,FanDuel,https://www.foxsports.com/stories/soccer/2026-world-cup-czechia-south-africa-odds-prediction-picks,-125,+270,+350,1.8,3.7,4.5,0.5301,0.2579,0.212,1.048
m29,USA,Australia,FanDuel,https://www.cbssports.com/soccer/news/usmnt-australia-odds-prediction-time-2026-world-cup-picks-soccer-bets/,-160,+320,+420,1.625,4.2,5.2,0.5884,0.2277,0.1839,1.0458
m30,Türkiye,Paraguay,FanDuel,https://www.foxsports.com/stories/soccer/2026-world-cup-turkiye-paraguay-odds-prediction-picks,+105,+230,+280,2.05,3.3,3.8,0.4628,0.2875,0.2497,1.054
m31,Brazil,Haiti,BetOnline,https://thesportsrush.com/brazil-v-haiti-predictions/,-800,+850,+1900,1.125,9.5,20.0,0.8513,0.1008,0.0479,1.0442
m32,Scotland,Morocco,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/scotland-vs-morocco-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aTSK61a9KSIm/,4/1,13/5,8/11,5.0,3.6,1.7272727272727273,0.1893,0.2629,0.5479,1.0567
m33,Tunisia,Japan,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/tunisia-vs-japan-predictions-team-news-odds-betting-tips-bet-builder-a1nmS7s9uYmG/,11/2,3/1,8/15,6.5,4.0,1.5333333333333332,0.1457,0.2367,0.6176,1.056
m34,Ecuador,Curaçao,Kalshi,https://www.covers.com/world-cup/uruguay--vs-cape-verde-prediction-picks-odds-sunday-6-21-2026,-1000,+900,+2000,1.1,10.0,21.0,0.8603,0.0946,0.0451,1.0567
m35,Germany,Côte d'Ivoire,Kalshi,https://www.covers.com/world-cup/germany-vs-ivory-coast-prediction-picks-odds-saturday-6-20-2026,-182,+370,+450,1.5494505494505495,4.7,5.5,0.6206,0.2046,0.1748,1.04
m36,Netherlands,Sweden,Ladbrokes,https://www.racingpost.com/sport/football-tips/world-cup-2026/netherlands-vs-sweden-betting-tips-predictions-team-news-odds-bet-builder-awlZS3M1PcnW/,8/11,14/5,15/4,1.7272727272727273,3.8,4.75,0.55,0.25,0.2,1.0526
m37,New Zealand,Egypt,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/new-zealand-vs-egypt-betting-tips-predictions-team-news-odds-bet-builder-abyHq6P5efqn/,9/2,3/1,6/10,5.5,4.0,1.6,0.172,0.2366,0.5914,1.0568
m38,Uruguay,Cabo Verde,FanDuel,https://www.foxsports.com/stories/soccer/2026-world-cup-uruguay-cape-verde-odds-prediction-picks,-210,+310,+650,1.4761904761904763,4.1,7.5,0.6423,0.2313,0.1264,1.0547
m39,Belgium,IR Iran,unspecified,https://www.cbssports.com/soccer/news/belgium-vs-iran-world-cup-2026-preview-predictions-watch/,-230,+360,+650,1.434782608695652,4.6,7.5,0.6652,0.2075,0.1273,1.0477
m40,Spain,Saudi Arabia,FanDuel,https://www.cbssports.com/soccer/news/spain-saudi-arabia-odds-prediction-time-2026-world-cup-picks-best-bets/,-1100,+1100,+2000,1.0909090909090908,12.0,21.0,0.875,0.0795,0.0455,1.0476
m41,Jordan,Algeria,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/jordan-vs-algeria-betting-tips-predictions-team-news-odds-bet-builder-abUG75Z79uPM/,9/2,31/10,4/7,5.5,4.1,1.5714285714285714,0.1712,0.2296,0.5992,1.0621
m42,Norway,Senegal,Kalshi,https://www.covers.com/world-cup/norway-vs-senegal-prediction-picks-odds-monday-6-22-2026,+127,+270,+222,2.27,3.7,3.22,0.4313,0.2646,0.3041,1.0214
m43,France,Iraq,Kalshi,https://www.covers.com/world-cup/france-vs-iraq-prediction-picks-odds-monday-6-22-2026,-1200,+1000,+2500,1.0833333333333333,11.0,26.0,0.8771,0.0864,0.0365,1.0524
m44,Argentina,Austria,FanDuel,https://www.cbssports.com/soccer/news/argentina-austria-odds-prediction-time-2026-world-cup-picks-best-bets/,-240,+350,+650,1.4166666666666667,4.5,7.5,0.665,0.2094,0.1256,1.0614
m45,Colombia,Congo DR,Sports Interaction,https://news.sportsinteraction.com/soccer/fifa-world-cup/story/colombia-vs-dr-congo-odds-prediction-062426-217189,-195,+320,+600,1.5128205128205128,4.2,7.0,0.6344,0.2285,0.1371,1.042
m46,Panama,Croatia,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/panama-vs-croatia-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aZnLU5O1Zsqe/,6/1,3/1,1/2,7.0,4.0,1.5,0.1348,0.236,0.6292,1.0595
m47,England,Ghana,Sports Interaction,https://news.sportsinteraction.com/soccer/fifa-world-cup/story/england-vs-ghana-odds-prediction-062326-217179,-450,+550,+1400,1.2222222222222223,6.5,15.0,0.7877,0.1481,0.0642,1.0387
m48,Portugal,Uzbekistan,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/portugal-vs-uzbekistan-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-a260w1C6DOJl/,1/5,6/1,11/1,1.2,7.0,12.0,0.7865,0.1348,0.0787,1.0595
m49,South Africa,Korea Republic,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/south-africa-vs-south-korea-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-afEgA7q1q3rv/,19/4,29/10,6/10,5.75,3.9,1.6,0.1648,0.243,0.5922,1.0553
m50,Czechia,Mexico,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/czech-republic-vs-mexico-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aVhrU9r75F2V/,13/5,3/1,10/11,3.6,4.0,1.9090909090909092,0.2642,0.2377,0.4981,1.0516
m51,Morocco,Haiti,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/morocco-vs-haiti-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-ah7S64g5gWZJ/,1/6,13/2,14/1,1.1666666666666667,7.5,15.0,0.8108,0.1261,0.0631,1.0571
m52,Scotland,Brazil,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/scotland-vs-brazil-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-a1B9A9D9fjpC/,7/1,4/1,4/11,8.0,5.0,1.3636363636363638,0.1181,0.189,0.6929,1.0583
m53,Bosnia and Herzegovina,Qatar,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/bosnia-and-herzegovina-vs-qatar-betting-tips-predictions-team-news-odds-bet-builder-aIQmi5h5P3A8/,4/9,4/1,21/4,1.4444444444444444,5.0,6.25,0.6579,0.1901,0.152,1.0523
m54,Switzerland,Canada,Sports Interaction,https://news.sportsinteraction.com/soccer/fifa-world-cup/story/switzerland-vs-canada-odds-prediction-062426-217201,+130,+220,+230,2.3,3.2,3.3,0.414,0.2975,0.2885,1.0503
m55,Curaçao,Côte d'Ivoire,FanDuel,https://www.foxsports.com/stories/soccer/2026-world-cup-curacao-ivory-coast-odds-prediction-picks,+1700,+700,-700,18.0,8.0,1.1428571428571428,0.0526,0.1184,0.8289,1.0556
m56,Ecuador,Germany,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/ecuador-vs-germany-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aq3YX8o0kQbj/,5/2,3/1,19/20,3.5,4.0,1.95,0.2725,0.2384,0.4891,1.0485
m57,Japan,Sweden,FanDuel,https://www.sportsline.com/insiders/japan-vs-sweden-odds-predictions-2026-world-cup-picks-from-proven-soccer-expert/,+100,+230,+290,2.0,3.3,3.9,0.4719,0.286,0.242,1.0594
m58,Tunisia,Netherlands,Kalshi,https://sports.yahoo.com/articles/netherlands-vs-tunisia-predictions-picks-190000498.html,+2400,+1011,-733,25.0,11.11,1.1364256480218282,0.0396,0.0891,0.8713,1.01
m59,Türkiye,USA,FanDuel,https://www.foxsports.com/stories/soccer/2026-world-cup-united-states-turkiye-odds-prediction-picks,+290,+320,-125,3.9,4.2,1.8,0.2442,0.2267,0.5291,1.0501
m60,Paraguay,Australia,Ladbrokes,https://www.racingpost.com/sport/football-tips/world-cup-2026/paraguay-vs-australia-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-a6fxb9K2yEUl/,15/8,23/20,29/10,2.875,2.15,3.9,0.3253,0.435,0.2398,1.0694
m61,New Zealand,Belgium,BetMGM,https://www.sportsgambler.com/betting-tips/football/new-zealand-vs-belgium-prediction-lineups-odds-2026-06-26/,+1300,+700,-556,14.0,8.0,1.1798561151079137,0.0684,0.1197,0.8118,1.044
m62,Egypt,IR Iran,Ladbrokes,https://www.racingpost.com/sport/football-tips/world-cup-2026/egypt-vs-iran-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aARLl2s6c96X/,29/20,7/4,23/10,2.45,2.75,3.3,0.3797,0.3383,0.2819,1.0748
m63,Cabo Verde,Saudi Arabia,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/cape-verde-vs-saudi-arabia-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aSUNw3n9bZIi/,29/20,5/2,7/4,2.45,3.5,2.75,0.386,0.2702,0.3439,1.0575
m64,Uruguay,Spain,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/uruguay-vs-spain-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-af11j2h7nZPv/,6/1,31/10,1/2,7.0,4.1,1.5,0.1356,0.2315,0.6329,1.0534
m65,Senegal,Iraq,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/senegal-vs-iraq-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-abzLt2O2GKan/,2/9,11/2,11/1,1.2222222222222223,6.5,12.0,0.7753,0.1458,0.079,1.0554
m66,Norway,France,Paddy Power,https://www.racingpost.com/sport/football-tips/world-cup-2026/norway-vs-france-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aMxIm1b66uT1/,7/2,7/2,13/20,4.5,4.5,1.65,0.2115,0.2115,0.5769,1.0505
m67,Algeria,Austria,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/algeria-vs-austria-predictions-team-news-odds-betting-tips-bet-builder-aVgbm2W8srwo/,14/5,13/10,9/5,3.8,2.3,2.8,0.2494,0.4121,0.3385,1.0551
m68,Jordan,Argentina,Kalshi,https://www.covers.com/world-cup/argentina-vs-jordan-prediction-picks-odds-saturday-6-27-2026,+1567,+809,-614,16.67,9.09,1.1628664495114007,0.0582,0.1068,0.8349,1.0299
m69,Colombia,Portugal,BetOnline,https://www.vegasodds.com/predictions/soccer/2026-world-cup-group-k-colombia-portugal-preview-odds-predictions-june-27/,+322,+280,-115,4.220000000000001,3.8,1.8695652173913042,0.229,0.2543,0.5168,1.035
m70,Congo DR,Uzbekistan,Sports Interaction,https://news.sportsinteraction.com/soccer/fifa-world-cup/story/dr-congo-vs-uzbekistan-odds-prediction-062726-217266,-135,+320,+330,1.7407407407407407,4.2,4.3,0.5497,0.2278,0.2225,1.0451
m71,Croatia,Ghana,Kalshi,https://www.covers.com/world-cup/croatia-vs-ghana-prediction-picks-odds-saturday-6-27-2026,-133,+218,+420,1.7518796992481203,3.18,5.2,0.5297,0.2918,0.1785,1.0776
m72,Panama,England,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/panama-vs-england-predictions-team-news-odds-betting-tips-bet-builder-apQ9S0K8XqK3/,12/1,7/1,1/6,13.0,8.0,1.1666666666666667,0.0726,0.118,0.8093,1.0591
